用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
辛德哥,保密,该说不说，知乎上质疑派还是算占了上风的,,一级评论,4,6,2024-11-05 21:24:17
秃头可达鸭1,保密,幽默红厕所[笑哭],,一级评论,5,6,2024-11-05 18:59:46
廖沙妮,保密,它后面的明显不是小红书，是微信视频啊……,秃头可达鸭1,二级评论,4,0,2024-11-05 19:32:30
ARCHON-2D,保密,还得是贴吧，最纯粹的攻击性😋,,一级评论,6,1,2024-11-20 00:57:56
羊习习12345,保密,攻击力还得是吧友[doge][笑哭],,一级评论,5,1,2024-11-06 22:35:21
E1406,男,中间打码的是什么？私发给我。[吃瓜][吃瓜],,一级评论,4,0,2024-11-26 17:44:22
巧克力味黑子,保密,根本没啥，就是“姜王博士”这样的玩笑，不知道睿站怎么不给过[无语],E1406,二级评论,6,0,2024-11-26 23:28:20
