用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
sudy4848,保密,回复 @cjzcjl : 你没看到后面我有解释嘛？？？,清道夫西特乐,二级评论,5,0,2024-11-06 09:55:47
阿米努阿斯特欧,男,现实里见不到是因为藏得太深，还是它们的圈子太低层,清道夫西特乐,二级评论,5,4,2024-11-09 10:01:56
满江红99,保密,我觉得有的人故意这样装傻B博流量[doge],清道夫西特乐,二级评论,5,0,2024-11-10 00:42:04
Dolorous_清羽,男,那可太多了，现实中她们会把自己隐藏成正常人，在网上微博小红书就聚集起来了像一坨史一样,清道夫西特乐,二级评论,3,1,2024-11-15 13:24:21
双向不郁闷,女,喂，女生质疑她的也不少，别一棒子打死了。,,一级评论,4,48,2024-11-04 17:10:47
空间的归依,保密,男生都有护的呢！互联网太多样了而已,双向不郁闷,二级评论,5,49,2024-11-04 17:17:09
tatbtsjl,保密,无辜个🔨,双向不郁闷,二级评论,4,19,2024-11-04 17:35:12
小熊叒,保密,真当网友都是傻子了,双向不郁闷,二级评论,5,16,2024-11-04 18:23:40
音乐贩子,男,🤮吐了,双向不郁闷,二级评论,6,4,2024-11-04 19:26:15
千酒杯,保密,杨笠已经把税收到一百年后了,双向不郁闷,二级评论,5,12,2024-11-05 11:25:35
卫统,保密,我管这个那个，一起埋了,双向不郁闷,二级评论,5,3,2024-11-05 11:27:51
文鸟的和声,保密,那咋了？,双向不郁闷,二级评论,2,3,2024-11-05 11:35:58
阳光劫匪倒转地球丶,男,嚯，现在又成了反抗父权的榜样了,双向不郁闷,二级评论,6,4,2024-11-05 11:45:32
对抗路击剑师,保密,没有人一棒子打死，从来都是拿比例说事，微博小红书用户那个性别比例高？,双向不郁闷,二级评论,4,4,2024-11-05 12:16:00
黄瓜王小睦,男,那咋了，就得一棒子打死,双向不郁闷,二级评论,6,2,2024-11-05 14:33:03
账号已注销,保密,那咋了,双向不郁闷,二级评论,0,0,2024-11-06 16:00:57
Natural0816,保密,那咋了？,双向不郁闷,二级评论,5,0,2024-11-09 09:11:12
Transylvaniaball,保密,姜萍事件的本质：新闻学大战数理化。[doge],,一级评论,6,88,2024-11-04 13:10:37
暮过白头,保密,本质还是炒流量，618前夕上热搜，压了几个月，结果双11前夕突然公布。,Transylvaniaball,二级评论,5,11,2024-11-04 15:33:39
咖喱饭Gary,男,羡慕你的菜花[doge],Transylvaniaball,二级评论,6,1,2024-11-04 16:46:19
别那么晚睡qwq,保密,回复 @暮过白头 :这次是压的LOLFaker的流量,Transylvaniaball,二级评论,3,1,2024-11-05 11:44:13
绝望的小逗逼,男,回复 @昨夜南风QWQ28 :还有京东阳历的热度[doge],Transylvaniaball,二级评论,6,0,2024-11-05 11:51:02
幽萤啊,保密,回复 @昨夜南风QWQ28 :飞飞上了多少热搜，姜平上了多少热搜，B站这边姜平热搜的影子都没有,Transylvaniaball,二级评论,2,0,2024-11-05 16:26:02
冷水泡面好好吃,保密,[呲牙]cmg是这样的———,,一级评论,5,98,2024-11-04 11:03:05
Transylvaniaball,保密,"考数学别人写解字 姜萍都快答完了
                                                      ——央视网
平时的作业，我扫了一眼，觉得没有做的价值，我更喜欢在高等数学里探索。                    ——姜萍",,一级评论,6,60,2024-11-04 13:10:33
明墨染z,男,没毛病啊，如果她就会写解字，别的啥也不会，也算答完。[脱单doge],Transylvaniaball,二级评论,6,7,2024-11-04 18:50:43
啊多喝热水,男,我发合订截图直接被删,Transylvaniaball,二级评论,6,3,2024-11-04 18:53:09
